I (4878) wifi_lib: DONE with packet: 1, SEQ: 0
I (4958) wifi_lib: DONE with packet: 2, SEQ: 0
I (5018) wifi_lib: DONE with packet: 3, SEQ: 0
I (5108) wifi_lib: DONE with packet: 1, SEQ: 1
I (5168) wifi_lib: DONE with packet: 2, SEQ: 1
I (5258) wifi_lib: DONE with packet: 1, SEQ: 2
I (5328) wifi_lib: DONE with packet: 2, SEQ: 2
I (5438) wifi_lib: DONE with packet: 1, SEQ: 3
I (5498) wifi_lib: DONE with packet: 2, SEQ: 3
I (5608) wifi_lib: DONE with packet: 1, SEQ: 4
I (5668) wifi_lib: DONE with packet: 2, SEQ: 4
I (5778) wifi_lib: DONE with packet: 1, SEQ: 5
I (5848) wifi_lib: DONE with packet: 2, SEQ: 5
I (5938) wifi_lib: DONE with packet: 1, SEQ: 6
I (6008) wifi_lib: DONE with packet: 2, SEQ: 6
I (6128) wifi_lib: DONE with packet: 1, SEQ: 7
I (6198) wifi_lib: DONE with packet: 2, SEQ: 7
I (6288) wifi_lib: DONE with packet: 1, SEQ: 8
I (6368) wifi_lib: DONE with packet: 2, SEQ: 8
I (6468) wifi_lib: DONE with packet: 1, SEQ: 9
I (6538) wifi_lib: DONE with packet: 2, SEQ: 9
I (6658) wifi_lib: DONE with packet: 1, SEQ: 10
I (6708) wifi_lib: DONE with packet: 2, SEQ: 10
I (6818) wifi_lib: DONE with packet: 1, SEQ: 11
I (6878) wifi_lib: DONE with packet: 2, SEQ: 11
I (6988) wifi_lib: DONE with packet: 1, SEQ: 12
I (7038) wifi_lib: DONE with packet: 2, SEQ: 12
I (7168) wifi_lib: DONE with packet: 1, SEQ: 13
I (7218) wifi_lib: DONE with packet: 2, SEQ: 13
I (7338) wifi_lib: DONE with packet: 1, SEQ: 14
I (7408) wifi_lib: DONE with packet: 2, SEQ: 14
I (7538) wifi_lib: DONE with packet: 1, SEQ: 15
I (7598) wifi_lib: DONE with packet: 2, SEQ: 15
I (7708) wifi_lib: DONE with packet: 1, SEQ: 16
I (7778) wifi_lib: DONE with packet: 2, SEQ: 16
I (7878) wifi_lib: DONE with packet: 1, SEQ: 17
I (7948) wifi_lib: DONE with packet: 2, SEQ: 17
I (8038) wifi_lib: DONE with packet: 1, SEQ: 18
I (8108) wifi_lib: DONE with packet: 2, SEQ: 18
I (8228) wifi_lib: DONE with packet: 1, SEQ: 19
I (8298) wifi_lib: DONE with packet: 2, SEQ: 19
I (8408) wifi_lib: DONE with packet: 1, SEQ: 20
I (8478) wifi_lib: DONE with packet: 2, SEQ: 20
I (8588) wifi_lib: DONE with packet: 1, SEQ: 21
I (8648) wifi_lib: DONE with packet: 2, SEQ: 21
I (8828) wifi_lib: DONE with packet: 1, SEQ: 22
I (8878) wifi_lib: DONE with packet: 2, SEQ: 22
I (9068) wifi_lib: DONE with packet: 1, SEQ: 23
I (9128) wifi_lib: DONE with packet: 2, SEQ: 23
I (9218) wifi_lib: DONE with packet: 1, SEQ: 24
I (9298) wifi_lib: DONE with packet: 2, SEQ: 24
I (9408) wifi_lib: DONE with packet: 1, SEQ: 25
I (9468) wifi_lib: DONE with packet: 2, SEQ: 25
I (9568) wifi_lib: DONE with packet: 1, SEQ: 26
I (9628) wifi_lib: DONE with packet: 2, SEQ: 26
I (9728) wifi_lib: DONE with packet: 1, SEQ: 27
I (9798) wifi_lib: DONE with packet: 2, SEQ: 27
I (9898) wifi_lib: DONE with packet: 1, SEQ: 28
I (9968) wifi_lib: DONE with packet: 2, SEQ: 28
I (10058) wifi_lib: DONE with packet: 1, SEQ: 29
I (10138) wifi_lib: DONE with packet: 2, SEQ: 29
I (10248) wifi_lib: DONE with packet: 1, SEQ: 30
I (10318) wifi_lib: DONE with packet: 2, SEQ: 30
I (10428) wifi_lib: DONE with packet: 1, SEQ: 31
I (10498) wifi_lib: DONE with packet: 2, SEQ: 31
I (10598) wifi_lib: DONE with packet: 1, SEQ: 32
I (10668) wifi_lib: DONE with packet: 2, SEQ: 32
I (10768) wifi_lib: DONE with packet: 1, SEQ: 33
I (10838) wifi_lib: DONE with packet: 2, SEQ: 33
I (10938) wifi_lib: DONE with packet: 1, SEQ: 34
I (10998) wifi_lib: DONE with packet: 2, SEQ: 34
I (11108) wifi_lib: DONE with packet: 1, SEQ: 35
I (11178) wifi_lib: DONE with packet: 2, SEQ: 35
I (11288) wifi_lib: DONE with packet: 1, SEQ: 36
I (11358) wifi_lib: DONE with packet: 2, SEQ: 36
I (11468) wifi_lib: DONE with packet: 1, SEQ: 37
I (11528) wifi_lib: DONE with packet: 2, SEQ: 37
I (11698) wifi_lib: DONE with packet: 1, SEQ: 38
I (11748) wifi_lib: DONE with packet: 2, SEQ: 38
I (11938) wifi_lib: DONE with packet: 1, SEQ: 39
I (11988) wifi_lib: DONE with packet: 2, SEQ: 39
I (12098) wifi_lib: DONE with packet: 1, SEQ: 40
I (12168) wifi_lib: DONE with packet: 2, SEQ: 40
I (12278) wifi_lib: DONE with packet: 1, SEQ: 41
I (12348) wifi_lib: DONE with packet: 2, SEQ: 41
I (12468) wifi_lib: DONE with packet: 1, SEQ: 42
I (12538) wifi_lib: DONE with packet: 2, SEQ: 42
I (12638) wifi_lib: DONE with packet: 1, SEQ: 43
I (12708) wifi_lib: DONE with packet: 2, SEQ: 43
I (12818) wifi_lib: DONE with packet: 1, SEQ: 44
I (12878) wifi_lib: DONE with packet: 2, SEQ: 44
I (12988) wifi_lib: DONE with packet: 1, SEQ: 45
I (13038) wifi_lib: DONE with packet: 2, SEQ: 45
I (13218) wifi_lib: DONE with packet: 1, SEQ: 46
I (13278) wifi_lib: DONE with packet: 2, SEQ: 46
I (13378) wifi_lib: DONE with packet: 1, SEQ: 47
I (13438) wifi_lib: DONE with packet: 2, SEQ: 47
I (13558) wifi_lib: DONE with packet: 1, SEQ: 48
I (13618) wifi_lib: DONE with packet: 2, SEQ: 48
I (13708) wifi_lib: DONE with packet: 1, SEQ: 49
I (13778) wifi_lib: DONE with packet: 2, SEQ: 49
I (13868) wifi_lib: DONE with packet: 1, SEQ: 50
I (13938) wifi_lib: DONE with packet: 2, SEQ: 50
I (14038) wifi_lib: DONE with packet: 1, SEQ: 51
I (14118) wifi_lib: DONE with packet: 2, SEQ: 51
I (14218) wifi_lib: DONE with packet: 1, SEQ: 52
I (14278) wifi_lib: DONE with packet: 2, SEQ: 52
I (14388) wifi_lib: DONE with packet: 1, SEQ: 53
I (14448) wifi_lib: DONE with packet: 2, SEQ: 53
I (14558) wifi_lib: DONE with packet: 1, SEQ: 54
I (14618) wifi_lib: DONE with packet: 2, SEQ: 54
I (14728) wifi_lib: DONE with packet: 1, SEQ: 55
I (14788) wifi_lib: DONE with packet: 2, SEQ: 55
I (14898) wifi_lib: DONE with packet: 1, SEQ: 56
I (14958) wifi_lib: DONE with packet: 2, SEQ: 56
I (15068) wifi_lib: DONE with packet: 1, SEQ: 57
I (15118) wifi_lib: DONE with packet: 2, SEQ: 57
I (15298) wifi_lib: DONE with packet: 1, SEQ: 58
I (15358) wifi_lib: DONE with packet: 2, SEQ: 58
I (15468) wifi_lib: DONE with packet: 1, SEQ: 59
I (15518) wifi_lib: DONE with packet: 2, SEQ: 59
I (15628) wifi_lib: DONE with packet: 1, SEQ: 60
I (15678) wifi_lib: DONE with packet: 2, SEQ: 60
I (15798) wifi_lib: DONE with packet: 1, SEQ: 61
I (15858) wifi_lib: DONE with packet: 2, SEQ: 61
I (15948) wifi_lib: DONE with packet: 1, SEQ: 62
I (16018) wifi_lib: DONE with packet: 2, SEQ: 62
I (16128) wifi_lib: DONE with packet: 1, SEQ: 63
I (16188) wifi_lib: DONE with packet: 2, SEQ: 63
I (16288) wifi_lib: DONE with packet: 1, SEQ: 64
I (16358) wifi_lib: DONE with packet: 2, SEQ: 64
I (16458) wifi_lib: DONE with packet: 1, SEQ: 65
I (16528) wifi_lib: DONE with packet: 2, SEQ: 65
I (16628) wifi_lib: DONE with packet: 1, SEQ: 66
I (16698) wifi_lib: DONE with packet: 2, SEQ: 66
I (16908) wifi_lib: DONE with packet: 1, SEQ: 67
I (16968) wifi_lib: DONE with packet: 2, SEQ: 67
I (17218) wifi_lib: DONE with packet: 1, SEQ: 68
